company,url,source_name,raw_text,Date
Marathon Petroleum,https://apnews.com/article/louisiana-refinery-fire-marathon-garyville-b9bc66c602768ddf0e6d439d532b7f01,apnews.com,,
Marathon Petroleum,https://www.theguardian.com/us-news/article/2024/sep/09/marathon-oil-fire-louisiana-cancer-alley,theguardian.com,,
Marathon Petroleum,https://www.theguardian.com/sustainable-business/2017/jul/10/100-fossil-fuel-companies-investors-responsible-71-global-emissions-cdp-study-climate-change,theguardian.com,,
Sinopec,https://web.archive.org/web/20081109102110/http://uk.reuters.com/article/oilRpt/idUKHKG702120070704,web.archive.org,,
Sinopec,https://www.theguardian.com/sustainable-business/2017/jul/10/100-fossil-fuel-companies-investors-responsible-71-global-emissions-cdp-study-climate-change,theguardian.com,,
Sinopec,https://www.theguardian.com/world/2014/jan/22/chinese-oil-giants-offshore-shell-companies-caribbean,theguardian.com,,
PetroChina,http://news.bbc.co.uk/2/hi/asia-pacific/6299085.stm,news.bbc.co.uk,,
PetroChina,http://news.bbc.co.uk/2/hi/europe/4551842.stm,news.bbc.co.uk,,
PetroChina,http://news.bbc.co.uk/2/hi/asia-pacific/4465712.stm,news.bbc.co.uk,,
PetroChina,https://www.nytimes.com/2008/05/06/world/asia/06china.html?ref=world&_r=0,nytimes.com,,
PetroChina,https://www.nytimes.com/2013/09/02/world/asia/senior-chinese-official-is-investigated-for-graft.htmls,nytimes.com,,
PetroChina,https://www.csmonitor.com/1995/1012/12071.html,csmonitor.com,,
PetroChina,https://www.wsj.com/articles/petrochina-vice-chairman-under-investigation-for-graft-allegations-1426511466,wsj.com,,
PetroChina,https://www.theguardian.com/world/2014/jan/22/chinese-oil-giants-offshore-shell-companies-caribbean,theguardian.com,,
